Year,TNHE,TNHE: Ot,TNHE: HI,TNHE: HI: PHI,TNHE: HI: Me,TNHE: HI: Md,TNHE: HI: Md: Fl,TNHE: HI: Md: Fl.1,TNHE: HI: CHIP,TNHE: HI: CHIP: Fl,TNHE: HI: CHIP: SL,TNHE: HI: DD,TNHE: HI: DVA,TNHE: OTPPP,TNHE: OTPPP: WHC,TNHE: OTPPP: OPR,TNHE: OTPPP: IHS,TNHE: OTPPP: WC,TNHE: OTPPP: GA,TNHE: OTPPP: MCH,TNHE: OTPPP: MCH: Fl,TNHE: OTPPP: MCH: SL,TNHE: OTPPP: VR,TNHE: OTPPP: VR: Fl,TNHE: OTPPP: VR: SL,TNHE: OTPPP: OFP,TNHE: OTPPP: SAMHSA,TNHE: OTPPP: OSLP,TNHE: OTPPP: SH,TNHE: PHA,TNHE: PHA: Fl,TNHE: PHA: SL,TNHE: It,TNHE: It: Rh,TNHE: It: SE,POPULATION,HCE,HCE: Ot,HCE: HI,HCE: HI: PHI,HCE: HI: Me,HCE: HI: Md,HCE: HI: Md: Fl,HCE: HI: Md: SL,HCE: HI: CHIP,HCE: HI: CHIP: Fl,HCE: HI: CHIP: SL,HCE: HI: DD,HCE: HI: DVA,HCE: OTPPP,HCE: OTPPP: WHC,HCE: OTPPP: OPR,HCE: OTPPP: IHS,HCE: OTPPP: WC,HCE: OTPPP: GA,HCE: OTPPP: MCH,HCE: OTPPP: MCH: Fl,HCE: OTPPP: MCH: SL,HCE: OTPPP: VR,HCE: OTPPP: VR: Fl,HCE: OTPPP: VR: SL,HCE: OTPPP: OFP,HCE: OTPPP: SAMHSA,HCE: OTPPP: OSLP,HCE: OTPPP: SH,HCE: PHA,HCE: PHA: Fl,HCE: PHA: SL,PHC,PHC: Ot,PHC: HI,PHC: HI: PHI,PHC: HI: Me,PHC: HI: Md,PHC: HI: Md: Fl,PHC: HI: Md: SL,PHC: HI: CHIP,PHC: HI: CHIP: Fl,PHC: HI: CHIP: SL,PHC: HI: DD,PHC: HI: DVA,PHC: OTPPP,PHC: OTPPP: WHC,PHC: OTPPP: OPR,PHC: OTPPP: IHS,PHC: OTPPP: WC,PHC: OTPPP: GA,PHC: OTPPP: MCH,PHC: OTPPP: MCH: Fl,PHC: OTPPP: MCH: SL,PHC: OTPPP: VR,PHC: OTPPP: VR: Fl,PHC: OTPPP: VR: SL,PHC: OTPPP: OFP,PHC: OTPPP: SAMHSA,PHC: OTPPP: OSLP,PHC: OTPPP: SH,THE,THE: Ot,THE: HI,THE: HI: PHI,THE: HI: Me,THE: HI: Md,THE: HI: Md: Fl,THE: HI: Md: SL,THE: HI: CHIP,THE: HI: CHIP: Fl,THE: HI: CHIP: SL,THE: HI: DD,THE: HI: DVA,THE: OTPPP,THE: OTPPP: WHC,THE: OTPPP: OPR,THE: OTPPP: IHS,THE: OTPPP: WC,THE: OTPPP: GA,THE: OTPPP: MCH,THE: OTPPP: MCH: Fl,THE: OTPPP: MCH: SL,THE: OTPPP: VR,THE: OTPPP: VR: Fl,THE: OTPPP: VR: SL,THE: OTPPP: OFP,THE: OTPPP: SAMHSA,THE: OTPPP: OSLP,THE: OTPPP: SH,TPCE,TPCE: Ot,TPCE: HI,TPCE: HI: PHI,TPCE: HI: Me,TPCE: HI: Md,TPCE: HI: Md: Fl,TPCE: HI: Md: SL,TPCE: HI: CHIP,TPCE: HI: CHIP: Fl,TPCE: HI: CHIP: SL,TPCE: HI: DD,TPCE: HI: DVA,TPCE: OTPPP,TPCE: OTPPP: WHC,TPCE: OTPPP: OPR,TPCE: OTPPP: IHS,TPCE: OTPPP: WC,TPCE: OTPPP: GA,TPCE: OTPPP: MCH,TPCE: OTPPP: MCH: Fl,TPCE: OTPPP: MCH: SL,TPCE: OTPPP: VR,TPCE: OTPPP: VR: Fl,TPCE: OTPPP: VR: SL,TPCE: OTPPP: OFP,TPCE: OTPPP: SAMHSA,TPCE: OTPPP: OSLP,TPCE: OTPPP: SH,TDSE,TDSE: Ot,TDSE: HI,TDSE: HI: PHI,TDSE: HI: Me,TDSE: HI: Md,TDSE: HI: Md: Fl,TDSE: HI: Md: SL,TDSE: HI: CHIP,TDSE: HI: CHIP: Fl,TDSE: HI: CHIP: SL,TDSE: HI: DD,TDSE: HI: DVA,TDSE: OTPPP,TDSE: OTPPP: WHC,TDSE: OTPPP: OPR,TDSE: OTPPP: IHS,TDSE: OTPPP: WC,TDSE: OTPPP: GA,TDSE: OTPPP: MCH,TDSE: OTPPP: MCH: Fl,TDSE: OTPPP: MCH: SL,TDSE: OTPPP: VR,TDSE: OTPPP: VR: Fl,TDSE: OTPPP: VR: SL,TDSE: OTPPP: OFP,TDSE: OTPPP: SAMHSA,TDSE: OTPPP: OSLP,TDSE: OTPPP: SH,TOPSE,TOPSE: Ot,TOPSE: HI,TOPSE: HI: PHI,TOPSE: HI: Me,TOPSE: HI: Md,TOPSE: HI: Md: Fl,TOPSE: HI: Md: SL,TOPSE: HI: CHIP,TOPSE: HI: CHIP: Fl,TOPSE: HI: CHIP: SL,TOPSE: HI: DD,TOPSE: HI: DVA,TOPSE: OTPPP,TOPSE: OTPPP: WHC,TOPSE: OTPPP: OPR,TOPSE: OTPPP: IHS,TOPSE: OTPPP: WC,TOPSE: OTPPP: GA,TOPSE: OTPPP: MCH,TOPSE: OTPPP: MCH: Fl,TOPSE: OTPPP: MCH: SL,TOPSE: OTPPP: VR,TOPSE: OTPPP: VR: Fl,TOPSE: OTPPP: VR: SL,TOPSE: OTPPP: OFP,TOPSE: OTPPP: SAMHSA,TOPSE: OTPPP: OSLP,TOPSE: OTPPP: SH,THHCE,THHCE: Ot,THHCE: HI,THHCE: HI: PHI,THHCE: HI: Me,THHCE: HI: Md,THHCE: HI: Md: Fl,THHCE: HI: Md: SL,THHCE: HI: CHIP,THHCE: HI: CHIP: Fl,THHCE: HI: CHIP: SL,THHCE: HI: DD,THHCE: HI: DVA,THHCE: OTPPP,THHCE: OTPPP: WHC,THHCE: OTPPP: OPR,THHCE: OTPPP: IHS,THHCE: OTPPP: WC,THHCE: OTPPP: GA,THHCE: OTPPP: MCH,THHCE: OTPPP: MCH: Fl,THHCE: OTPPP: MCH: SL,THHCE: OTPPP: VR,THHCE: OTPPP: VR: Fl,THHCE: OTPPP: VR: SL,THHCE: OTPPP: OFP,THHCE: OTPPP: SAMHSA,THHCE: OTPPP: OSLP,THHCE: OTPPP: SH,ONDMPE,ONDMPE: Ot,ONDMPE: HI,ONDMPE: HI: PHI,ONDMPE: HI: Me,ONDMPE: HI: Md,ONDMPE: HI: Md: Fl,ONDMPE: HI: Md: SL,ONDMPE: HI: CHIP,ONDMPE: HI: CHIP: Fl,ONDMPE: HI: CHIP: SL,ONDMPE: HI: DD,ONDMPE: HI: DVA,ONDMPE: OTPPP,ONDMPE: OTPPP: WHC,ONDMPE: OTPPP: OPR,ONDMPE: OTPPP: IHS,ONDMPE: OTPPP: WC,ONDMPE: OTPPP: GA,ONDMPE: OTPPP: MCH,ONDMPE: OTPPP: MCH: Fl,ONDMPE: OTPPP: MCH: SL,ONDMPE: OTPPP: VR,ONDMPE: OTPPP: VR: Fl,ONDMPE: OTPPP: VR: SL,ONDMPE: OTPPP: OFP,ONDMPE: OTPPP: SAMHSA,ONDMPE: OTPPP: OSLP,ONDMPE: OTPPP: SH,TPDE,TPDE: Ot,TPDE: HI,TPDE: HI: PHI,TPDE: HI: Me,TPDE: HI: Md,TPDE: HI: Md: Fl,TPDE: HI: Md: SL,TPDE: HI: CHIP,TPDE: HI: CHIP: Fl,TPDE: HI: CHIP: SL,TPDE: HI: DD,TPDE: HI: DVA,TPDE: OTPPP,TPDE: OTPPP: WHC,TPDE: OTPPP: OPR,TPDE: OTPPP: IHS,TPDE: OTPPP: WC,TPDE: OTPPP: GA,TPDE: OTPPP: MCH,TPDE: OTPPP: MCH: Fl,TPDE: OTPPP: MCH: SL,TPDE: OTPPP: VR,TPDE: OTPPP: VR: Fl,TPDE: OTPPP: VR: SL,TPDE: OTPPP: OFP,TPDE: OTPPP: SAMHSA,TPDE: OTPPP: OSLP,TPDE: OTPPP: SH,TDMEE,TDMEE: Ot,TDMEE: HI,TDMEE: HI: PHI,TDMEE: HI: Me,TDMEE: HI: Md,TDMEE: HI: Md: Fl,TDMEE: HI: Md: SL,TDMEE: HI: CHIP,TDMEE: HI: CHIP: Fl,TDMEE: HI: CHIP: SL,TDMEE: HI: DD,TDMEE: HI: DVA,TDMEE: OTPPP,TDMEE: OTPPP: WHC,TDMEE: OTPPP: OPR,TDMEE: OTPPP: IHS,TDMEE: OTPPP: WC,TDMEE: OTPPP: GA,TDMEE: OTPPP: MCH,TDMEE: OTPPP: MCH: Fl,TDMEE: OTPPP: MCH: SL,TDMEE: OTPPP: VR,TDMEE: OTPPP: VR: Fl,TDMEE: OTPPP: VR: SL,TDMEE: OTPPP: OFP,TDMEE: OTPPP: SAMHSA,TDMEE: OTPPP: OSLP,TDMEE: OTPPP: SH,TNCFCCRC,TNCFCCRC: Ot,TNCFCCRC: HI,TNCFCCRC: HI: PHI,TNCFCCRC: HI: Me,TNCFCCRC: HI: Md,TNCFCCRC: HI: Md: Fl,TNCFCCRC: HI: Md: SL,TNCFCCRC: HI: CHIP,TNCFCCRC: HI: CHIP: Fl,TNCFCCRC: HI: CHIP: SL,TNCFCCRC: HI: DD,TNCFCCRC: HI: DVA,TNCFCCRC: OTPPP,TNCFCCRC: OTPPP: WHC,TNCFCCRC: OTPPP: OPR,TNCFCCRC: OTPPP: IHS,TNCFCCRC: OTPPP: WC,TNCFCCRC: OTPPP: GA,TNCFCCRC: OTPPP: MCH,TNCFCCRC: OTPPP: MCH: Fl,TNCFCCRC: OTPPP: MCH: SL,TNCFCCRC: OTPPP: VR,TNCFCCRC: OTPPP: VR: Fl,TNCFCCRC: OTPPP: VR: SL,TNCFCCRC: OTPPP: OFP,TNCFCCRC: OTPPP: SAMHSA,TNCFCCRC: OTPPP: OSLP,TNCFCCRC: OTPPP: SH,TOHRPCE,TOHRPCE: Ot,TOHRPCE: HI,TOHRPCE: HI: PHI,TOHRPCE: HI: Me,TOHRPCE: HI: Md,TOHRPCE: HI: Md: Fl,TOHRPCE: HI: Md: SL,TOHRPCE: HI: CHIP,TOHRPCE: HI: CHIP: Fl,TOHRPCE: HI: CHIP: SL,TOHRPCE: HI: DD,TOHRPCE: HI: DVA,TOHRPCE: OTPPP,TOHRPCE: OTPPP: WHC,TOHRPCE: OTPPP: OPR,TOHRPCE: OTPPP: IHS,TOHRPCE: OTPPP: WC,TOHRPCE: OTPPP: GA,TOHRPCE: OTPPP: MCH,TOHRPCE: OTPPP: MCH: Fl,TOHRPCE: OTPPP: MCH: SL,TOHRPCE: OTPPP: VR,TOHRPCE: OTPPP: VR: Fl,TOHRPCE: OTPPP: VR: SL,TOHRPCE: OTPPP: OFP,TOHRPCE: OTPPP: SAMHSA,TOHRPCE: OTPPP: OSLP,TOHRPCE: OTPPP: SH,TATNCHIE,TATNCHIE: Ot,TATNCHIE: HI,TATNCHIE: HI: PHI,TATNCHIE: HI: Me,TATNCHIE: HI: Md,TATNCHIE: HI: Md: Fl,TATNCHIE: HI: Md: SL,TATNCHIE: HI: CHIP,TATNCHIE: HI: CHIP: Fl,TATNCHIE: HI: CHIP: SL,TATNCHIE: HI: DD,TATNCHIE: HI: DVA,TATNCHIE: OTPPP,TATNCHIE: OTPPP: WHC,TATNCHIE: OTPPP: OPR,TATNCHIE: OTPPP: IHS,TATNCHIE: OTPPP: WC,TATNCHIE: OTPPP: GA,TATNCHIE: OTPPP: MCH,TATNCHIE: OTPPP: MCH: Fl,TATNCHIE: OTPPP: MCH: SL,TATNCHIE: OTPPP: VR,TATNCHIE: OTPPP: VR: Fl,TATNCHIE: OTPPP: VR: SL,TATNCHIE: OTPPP: OFP,TATNCHIE: OTPPP: SAMHSA,TATNCHIE: OTPPP: OSLP,TATNCHIE: OTPPP: SH,SLAE,SLAE: HI,SLAE: HI: Md,SLAE: HI: Md: SL,SLAE: HI: CHIP,SLAE: HI: CHIP: SL,SLAE: OTPPP,SLAE: OTPPP: WC,SLAE: OTPPP: MCH,SLAE: OTPPP: MCH: SL,SLAE: OTPPP: VR,SLAE: OTPPP: VR: SL,SLAE: OTPPP: OSLP,FAE,FAE: HI,FAE: HI: Me,FAE: HI: Md,FAE: HI: Md: Fl,FAE: HI: Md: SL,FAE: HI: CHIP,FAE: HI: CHIP: Fl,FAE: HI: DD,FAE: HI: DVA,FAE: OTPPP,FAE: OTPPP: IHS,FAE: OTPPP: WC,FAE: OTPPP: MCH,FAE: OTPPP: MCH: Fl,FAE: OTPPP: VR,FAE: OTPPP: VR: Fl,FAE: OTPPP: OFP,FAE: OTPPP: SAMHSA,NCHIE,NCHIE: HI,NCHIE: HI: PHI,NCHIE: HI: Me,NCHIE: HI: Md,NCHIE: HI: Md: Fl,NCHIE: HI: Md: SL,NCHIE: HI: CHIP,NCHIE: HI: CHIP: Fl,NCHIE: HI: CHIP: SL,NCHIE: OTPPP,NCHIE: OTPPP: WC,NCHIE: OTPPP: OFP,PHA,PHA: FF,PHA: SLF,Rh,Rh: Pe,Rh: FG,Rh: SLG,TSE,TSE: Pe,TSE: FG,TSE: SLG,TSE: Ss,TSE: Ss: Pe,TSE: Ss: FG,TSE: Ss: SLG,TSE: Et,TSE: Et: Pe,TSE: Et: FG,TSE: Et: SLG
1960,27214,12949,7497,5812,,,,,,,,788,897,3889,62,295,,615,102,116,27,89,20,12,8,337,,2221,122,371,102,269,2508,694,1814,186,24706,12949,7497,5812,,,,,,,,788,897,3889,62,295,,615,102,116,27,89,20,12,8,337,,2221,122,371,102,269,23263,12949,6634,4960,,,,,,,,786,887,3680,62,295,,435,102,109,26,83,19,12,7,327,,2211,122,8985,1852,4559,3195,,,,,,,,543,821,2574,,110,,152,81,19,5,14,7,4,3,178,,2027,,5551,3305,1837,1593,,,,,,,,218,25,409,,73,,252,9,4,2,2,8,5,3,29,,34,,1987,1907,64,38,,,,,,,,25,1,16,,,,,1,2,1,1,,,,7,,6,,392,341,8,8,,,,,,,,,,43,,11,,13,,16,4,12,,,,1,,2,,57,7,3,1,,,,,,,,,2,46,,38,,,,,,,,,,,,8,,1626,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,2676,2570,39,35,,,,,,,,,4,67,,,,9,4,1,1,,,,,28,,26,,740,686,40,40,,,,,,,,,,15,,,,9,,2,1,2,4,2,1,,,,,811,603,,,,,,,,,,,,207,,49,,,4,,,,,,,67,,87,,438,52,84,50,,,,,,,,,34,301,62,14,,,3,64,13,51,,,,16,,21,122,1072,,863,852,,,,,,,,2,10,209,,,,180,,7,1,7,1,1,,10,,10,,30,,,,,,30,13,7,7,,,10,24,12,,,,,,,2,10,12,,,1,1,1,1,10,,1018,852,852,,,,,,,,167,167,,371,102,269,694,139,504,51,1814,1344,75,395,1479,1066,72,341,335,278,3,54
1961,29138,13357,8236,6468,,,,,,,,836,933,4329,66,330,,644,110,172,44,127,22,14,8,447,,2399,140,409,108,302,2806,886,1921,189,26332,13357,8236,6468,,,,,,,,836,933,4329,66,330,,644,110,172,44,127,22,14,8,447,,2399,140,409,108,302,24755,13357,7293,5537,,,,,,,,834,922,4105,66,330,,460,110,161,43,117,21,13,8,432,,2385,140,9777,1895,5075,3664,,,,,,,,559,853,2807,,134,,161,88,29,9,20,8,5,3,225,,2162,,5814,3395,1966,1691,,,,,,,,248,27,452,,78,,267,10,7,3,3,9,6,4,39,,41,,2103,2018,64,37,,,,,,,,26,1,21,,,,,1,3,1,2,,,,10,,8,,409,343,12,12,,,,,,,,,,54,,12,,14,,26,7,19,,,,1,,2,,61,8,3,2,,,,,,,,,2,50,,41,,,,,,,,,,,,8,,1764,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,2718,2595,42,38,,,,,,,,,4,81,,,,9,4,1,1,,,,,36,,30,,765,707,40,40,,,,,,,,,,17,,,,9,,3,1,2,4,2,1,,,,,841,576,,,,,,,,,,,,264,,50,,,4,,,,,,,100,,110,,505,56,89,53,,,,,,,,,36,359,66,15,,,3,91,21,71,,,,21,,24,140,1167,,943,931,,,,,,,,2,10,224,,,,184,,11,1,10,1,1,,14,,13,,38,,,,,,38,14,10,10,,,13,29,12,,,,,,,2,10,17,,,1,1,1,1,14,,1101,931,931,,,,,,,,170,170,,409,108,302,886,147,680,58,1921,1479,77,365,1544,1163,71,310,377,316,6,55
1962,31842,14255,8999,7178,,,,,,,,860,961,4703,71,365,,705,102,180,48,133,25,15,10,598,,2510,147,456,140,316,3427,1068,2360,192,28414,14255,8999,7178,,,,,,,,860,961,4703,71,365,,705,102,180,48,133,25,15,10,598,,2510,147,456,140,316,26665,14255,7967,6158,,,,,,,,858,950,4442,71,365,,495,102,169,47,123,24,15,9,577,,2492,147,10432,1950,5515,4102,,,,,,,,533,879,2967,,157,,173,82,29,9,20,10,6,4,295,,2220,,6261,3594,2174,1849,,,,,,,,298,27,493,,84,,288,9,8,4,4,10,6,4,49,,46,,2224,2135,66,38,,,,,,,,27,1,23,,,,,1,3,1,2,,,,11,,8,,429,351,16,16,,,,,,,,,,62,,13,,15,,29,8,21,,,,3,,3,,65,8,3,2,,,,,,,,,2,53,,44,,,,,,,,,,,,9,,1901,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,3029,2889,46,42,,,,,,,,,4,94,,,,10,3,2,1,1,,,,44,,34,,910,843,49,49,,,,,,,,,,18,,,,10,,3,1,2,4,2,2,,,,,876,524,,,,,,,,,,,,351,,52,,,4,,,,,,,151,,145,,538,59,98,60,,,,,,,,,37,382,71,16,,,3,94,22,72,,,,25,,26,147,1293,,1033,1020,,,,,,,,2,11,261,,,,209,,11,1,10,1,1,1,20,,18,,43,,,,,,43,14,10,10,1,1,18,36,13,,,,,,,2,11,23,,1,1,1,1,1,20,,1214,1020,1020,,,,,,,,194,194,,456,140,316,1068,153,849,66,2360,1885,73,401,1918,1509,71,338,441,376,2,63
1963,34595,15311,9892,7952,,,,,,,,925,1015,5206,78,421,,742,103,201,50,150,29,18,11,715,,2773,143,509,208,301,3677,1219,2458,195,30918,15311,9892,7952,,,,,,,,925,1015,5206,78,421,,742,103,201,50,150,29,18,11,715,,2773,143,509,208,301,29076,15311,8828,6901,,,,,,,,923,1004,4937,78,421,,525,103,188,49,139,28,17,11,693,,2756,143,11507,2206,6012,4540,,,,,,,,542,930,3290,,189,,184,83,30,9,21,13,8,5,342,,2448,,7074,4027,2518,2138,,,,,,,,352,28,529,,93,,305,9,10,4,5,11,7,4,54,,47,,2371,2275,71,41,,,,,,,,29,1,25,,,,,1,3,1,2,,,,13,,9,,451,361,20,20,,,,,,,,,,70,,14,,16,,33,9,25,,,,4,,3,,69,8,4,2,,,,,,,,,2,57,,48,,,,,,,,,,,,9,,1944,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,3159,3005,47,43,,,,,,,,,4,107,,,,11,4,2,1,1,,,,53,,38,,901,833,50,50,,,,,,,,,,19,,,,11,,4,1,2,4,3,2,,,,,1009,589,,,,,,,,,,,,420,,59,,,3,,,,,,,190,,167,,590,63,106,67,,,,,,,,,39,420,78,18,,,3,106,23,83,,,,37,,34,143,1333,,1064,1051,,,,,,,,2,11,269,,,,216,,12,1,11,2,1,1,22,,17,,44,,,,,,44,15,11,11,1,1,17,38,13,,,,,,,2,11,25,,1,1,1,1,1,22,,1251,1051,1051,,,,,,,,200,200,,509,208,301,1219,162,983,74,2458,1960,86,412,1923,1505,85,333,535,455,1,79
1964,38394,16928,10971,9052,,,,,,,,861,1058,5659,87,486,,807,112,220,60,159,33,20,13,750,,3013,151,572,226,347,4264,1366,2898,197,34130,16928,10971,9052,,,,,,,,861,1058,5659,87,486,,807,112,220,60,159,33,20,13,750,,3013,151,572,226,347,32039,16928,9806,7901,,,,,,,,859,1046,5305,87,486,,565,112,206,59,147,31,19,12,709,,2957,151,12501,2501,6554,5077,,,,,,,,508,969,3445,,224,,198,91,30,10,20,15,9,6,351,,2537,,8109,4637,2892,2539,,,,,,,,324,29,579,,106,,328,9,11,5,6,12,7,5,52,,61,,2616,2516,71,43,,,,,,,,27,1,30,,,,,1,2,1,1,,,,14,,13,,486,383,25,25,,,,,,,,,,78,,16,,17,,38,11,28,,,,3,,4,,75,9,4,2,,,,,,,,,2,62,,52,,,,,,,,,,,,10,,2083,2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,3347,3138,85,82,,,,,,,,,3,124,,,,11,4,3,2,1,,,,53,,53,,1004,928,55,55,,,,,,,,,,20,,,,11,,4,1,2,4,3,2,,,,,1168,662,,,,,,,,,,,,506,,68,,,4,,,,,,,198,,236,,650,71,119,77,,,,,,,,,42,461,87,21,,,3,118,29,89,,,,38,,42,151,1518,,1165,1152,,,,,,,,2,12,353,,,,241,,14,1,12,2,1,1,40,,56,,85,,,,,,85,16,12,12,1,1,56,57,13,,,,,,,2,12,43,,1,1,1,1,1,40,,1376,1152,1152,,,,,,,,225,225,,572,226,347,1366,170,1112,84,2898,2354,95,450,2341,1886,92,363,558,468,3,87
1965,41852,18209,12023,10072,,,,,,,,831,1119,6334,97,570,,870,122,244,80,164,41,27,15,831,,3392,168,621,214,407,4666,1521,3145,200,37186,18209,12023,10072,,,,,,,,831,1119,6334,97,570,,870,122,244,80,164,41,27,15,831,,3392,168,621,214,407,34720,18209,10655,8717,,,,,,,,830,1108,5857,97,570,,600,122,229,79,150,39,26,14,760,,3271,168,13545,2684,7136,5599,,,,,,,,519,1018,3725,,261,,210,100,34,14,20,19,13,7,370,,2731,,8587,4879,3068,2754,,,,,,,,284,30,641,,128,,348,9,14,8,6,15,10,5,52,,74,,2818,2704,81,55,,,,,,,,26,1,32,,,,,1,2,1,1,,,,13,,16,,533,395,30,30,,,,,,,,,,108,,19,,18,,46,16,30,,,,19,,5,,89,11,4,2,,,,,,,,,2,74,,62,,,,,,,,,,,,12,,2211,2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,3715,3441,133,130,,,,,,,,,3,140,,,,12,4,3,2,1,,,,53,,68,,1105,1021,62,62,,,,,,,,,,22,,,,12,,4,2,2,5,3,2,,,,,1408,787,9,1,,,,,,,,,7,613,,75,,,4,,,,,,,215,,319,,709,76,131,85,,,,,,,,,47,501,97,25,,,4,125,36,89,,,,39,,44,168,1845,,1368,1355,,,,,,,,2,12,477,,,,269,,15,1,14,2,1,1,70,,120,,150,,,,,,150,16,14,14,1,1,120,87,13,,,,,,,2,12,74,,1,1,1,1,1,70,,1608,1355,1355,,,,,,,,253,253,,621,214,407,1521,176,1251,94,3145,2528,122,495,2552,2035,120,397,593,493,2,98
1966,46081,18594,15673,10296,1842,1304,632,672,,,,1078,1153,6226,110,662,,991,182,291,114,176,58,42,16,653,,3093,187,733,294,439,4855,1624,3230,202,41227,18594,15673,10296,1842,1304,632,672,,,,1078,1153,6226,110,662,,991,182,291,114,176,58,42,16,653,,3093,187,733,294,439,38426,18594,14046,8854,1722,1252,605,647,,,,1077,1141,5786,110,662,,681,182,273,113,160,55,40,16,606,,3031,187,15298,2303,9285,5585,1255,726,351,375,,,,684,1035,3710,,314,,240,142,42,19,23,26,19,7,263,,2683,,9309,4843,3791,2816,443,141,68,73,,,,359,31,675,,150,,393,19,20,13,7,23,16,6,31,,41,,2992,2827,146,68,,43,21,22,,,,34,1,19,,,,,1,3,2,1,,,,7,,7,,572,389,49,34,3,11,6,6,,,,,,134,,22,,20,,60,27,33,,,,28,,3,,108,13,15,2,9,2,1,1,,,,,2,79,,64,,,,,,,,,,,,15,,2377,2375,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,3985,3594,288,182,,103,50,53,,,,,3,104,,,,14,8,5,3,1,,,,38,,38,,1242,1130,85,75,6,5,3,2,,,,,,27,,,,14,,5,3,3,6,5,2,,,,,1732,1041,225,2,,204,98,105,,,,,19,467,,89,,,6,,,,,,,160,,212,,811,78,161,89,4,18,8,10,,,,,50,572,110,23,,,5,137,45,92,,,,78,,32,187,2067,,1627,1442,120,52,26,25,,,,2,12,440,,,,310,,18,2,16,3,2,1,47,,63,,123,25,25,25,,,98,18,16,16,1,1,63,211,159,120,26,26,,,,2,12,52,,1,2,2,2,2,47,,1734,1443,1442,,1,1,,,,,291,291,,733,294,439,1624,186,1335,103,3230,2619,104,506,2559,2079,103,377,671,540,1,130
1967,51565,18537,21109,10452,4924,3141,1525,1616,,,,1324,1268,5996,128,776,,1100,240,324,142,182,88,66,22,463,,2661,215,861,401,460,5063,1775,3288,204,46502,18537,21109,10452,4924,3141,1525,1616,,,,1324,1268,5996,128,776,,1100,240,324,142,182,88,66,22,463,,2661,215,861,401,460,43500,18537,19388,9063,4731,3019,1461,1558,,,,1319,1256,5576,128,776,,751,240,304,140,163,84,63,21,438,,2640,215,17798,1809,12451,5607,3225,1624,786,838,,,,869,1125,3538,,392,,255,180,45,23,22,46,34,12,192,,2429,,10448,4831,4907,2892,1226,348,169,180,,,,408,32,709,,156,,443,24,25,18,7,30,22,8,14,,17,,3446,3150,284,104,,138,67,71,,,,41,2,12,,,,,3,6,4,2,,,,3,,1,,608,375,75,37,10,28,14,15,,,,,,157,,23,,23,,77,39,37,,,,33,,1,,164,14,57,3,48,3,2,2,,,,,2,93,,70,,,,,,,,,,,,22,,2527,2522,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,4227,3712,445,238,,205,99,106,,,,,3,69,,,,15,15,6,5,1,,,,20,,13,,1128,990,108,82,16,9,6,3,,,,,,31,,,,15,,7,4,3,8,6,2,1,,,,2234,1048,852,3,190,628,304,324,,,,,31,334,,107,,,12,,,,,,,89,,126,,921,85,204,96,11,35,15,20,,,,,61,632,128,29,,,7,138,47,91,,,,86,,29,215,2141,,1721,1389,193,122,64,59,,,,5,12,420,,,,350,,20,2,18,5,3,1,25,,21,,118,58,58,58,,,60,20,18,18,1,1,21,303,272,193,62,62,,,,5,12,31,,1,2,2,3,3,25,,1720,1391,1389,,3,2,1,,,,329,329,,861,401,460,1775,198,1466,111,3288,2545,60,683,2522,1945,43,534,767,600,18,149
