Year,Category,Provincial government ,Federal direct ,Municipal government ,Social security funds ,Public-sector total,Private-sector ,Total 
2001,A.2.1: Expenditure by year,68537.71694,4261.328934,775.8437774,1409.620734,74984.51039,32216.64365,107201.15400000001
2002,A.2.1: Expenditure by year,73435.88928999999,4140.510978,825.4377097,1507.325806,79909.16377999999,35147.29647,115056.4603
2003,A.2.1: Expenditure by year,79217.73112000001,4699.878602000001,921.5226244999999,1726.939259,86566.07161,37025.2951,123591.3667
2004,A.2.1: Expenditure by year,84381.76295,4764.433535,1056.797279,1836.57222,92039.56599,39515.66367,131555.2297
2005,A.2.1: Expenditure by year,90388.62062999999,4919.621674,1008.813572,1949.050185,98266.10606,42202.74563,140468.8517
2006,A.2.1: Expenditure by year,96575.78717000001,5255.939454,1032.498348,2097.130979,104961.356,46054.74277,151016.0987
2007,A.2.1: Expenditure by year,103544.3909,5677.4070520000005,962.4377038999999,2188.121479,112372.3572,48165.46705,160537.8242
2008,A.2.1: Expenditure by year,111709.9726,6350.079823,868.3936829,2381.016001,121309.4621,50861.51839,172170.9805
2009,A.2.1: Expenditure by year,118728.1785,6923.711729000001,938.8060429999999,2442.876831,129033.5731,53115.609710000004,182149.1828
2010,A.2.1: Expenditure by year,126118.2326,6571.063508,962.0356294,2548.585782,136199.9175,57066.86712,193266.7847
2011,A.2.1: Expenditure by year,130914.5095,6690.07784,867.6455017999999,2566.266737,141038.4996,58509.60424,199548.1038
2012,A.2.1: Expenditure by year,134841.7912,6855.293579000001,871.4230599,2736.001968,145304.5098,60521.30402,205825.8138
2013,A.2.1: Expenditure by year,137878.7476,6862.379611,812.7932473,2884.78773,148438.7082,61243.72595,209682.4342
2014,A.2.1: Expenditure by year,141484.5361,6991.045733,807.8608852000001,2951.0886739999996,152234.5314,63978.881160000004,216213.4126
2015,A.2.1: Expenditure by year,147820.4339,7072.416198999999,818.5619280000001,3047.12909,158758.5411,66934.43144,225692.9726
2016,A.2.1: Expenditure by year,151184.1125,7564.181881999999,815.3979793999999,3169.711196,162733.4036,71306.55447999999,234039.958
2017,A.2.1: Expenditure by year,156736.4248,7701.586908,828.0398761,3333.035969,168599.0875,74778.697,243377.7845
2018,A.2.1: Expenditure by year,162662.7251,7903.794031999999,832.0023113,3372.5268450000003,174771.0483,78707.52203,253478.5703
1975,A.2.2: Expenditure by year,71.3909122,3.264501099,0.587312963,0.9924310559999999,76.23515732,23.76484268,100.0
1976,A.2.2: Expenditure by year,72.09982296,3.129509241,0.752888578,1.009673974,76.99189475,23.00810525,100.0
1977,A.2.2: Expenditure by year,71.85789954,3.075907201,0.738905512,0.991205265,76.66391752,23.33608248,100.0
1978,A.2.2: Expenditure by year,71.72264318,2.83869429,0.652919344,1.015748134,76.23000495,23.76999505,100.0
1979,A.2.2: Expenditure by year,71.44930605,2.675243144,0.8139252020000001,0.9745158490000001,75.91299024,24.08700976,100.0
1980,A.2.2: Expenditure by year,70.8305084,2.6104237980000002,1.049420901,1.03914533,75.52949843,24.47050157,100.0
1981,A.2.2: Expenditure by year,70.99630896,2.636145592,1.0480112609999999,1.2141080990000002,75.89457391,24.10542609,100.0
1982,A.2.2: Expenditure by year,71.53042362,2.779034003,0.8155035079999999,1.102289954,76.22725109,23.77274891,100.0
1983,A.2.2: Expenditure by year,72.00698994,2.9228880160000004,0.652809185,1.036235884,76.61892302,23.38107698,100.0
1984,A.2.2: Expenditure by year,71.42546036,3.01043472,0.583876286,1.067564227,76.08733559,23.91266441,100.0
1985,A.2.2: Expenditure by year,70.7859262,2.9056272830000003,0.6854333909999999,1.159454756,75.53644163,24.46355837,100.0
1986,A.2.2: Expenditure by year,70.38015846,2.909188905,0.71575459,1.054464586,75.05956654,24.94043346,100.0
1987,A.2.2: Expenditure by year,70.14847102,2.8847133539999996,0.864695269,1.0247463829999999,74.92262603,25.07737397,100.0
1988,A.2.2: Expenditure by year,70.26322094,2.98830888,0.595554726,1.042271362,74.88935591,25.11064409,100.0
1989,A.2.2: Expenditure by year,70.11535189,3.0066141639999997,0.581916342,1.010381338,74.71426374,25.28573626,100.0
1990,A.2.2: Expenditure by year,69.62564503,3.225306606,0.59682219,1.054856905,74.50263073,25.49736927,100.0
1991,A.2.2: Expenditure by year,69.72633848,3.1759536,0.563922429,1.085902367,74.55211687,25.44788313,100.0
1992,A.2.2: Expenditure by year,69.34727404,3.149293575,0.568257511,1.0067462520000001,74.07157138,25.92842862,100.0
1993,A.2.2: Expenditure by year,67.94221286,3.189219225,0.536532755,0.957445781,72.62541062,27.37458938,100.0
1994,A.2.2: Expenditure by year,66.88636513,3.444252445,0.609713422,0.937297492,71.87762849,28.12237151,100.0
1995,A.2.2: Expenditure by year,66.12227088,3.592489875,0.531892493,0.967173216,71.21382646,28.78617354,100.0
1996,A.2.2: Expenditure by year,65.85899651,3.471175853,0.463581188,1.024273336,70.81802689,29.18197311,100.0
1997,A.2.2: Expenditure by year,64.95964885,3.5914652910000004,0.40470098299999996,1.157698943,70.11351407,29.88648593,100.0
1998,A.2.2: Expenditure by year,64.67996155,3.601248155,0.911027898,1.1911513459999998,70.38338895,29.61661105,100.0
1999,A.2.2: Expenditure by year,64.59514596,3.485066577,0.624958105,1.250602617,69.95577326,30.04422674,100.0
2000,A.2.2: Expenditure by year,64.56880698,3.665421502,0.7000678020000001,1.317103229,70.25139951,29.74860049,100.0
2001,A.2.2: Expenditure by year,63.93374918,3.9750774819999997,0.723727076,1.314930559,69.9474843,30.0525157,100.0
2002,A.2.2: Expenditure by year,63.82595912,3.5986775260000003,0.7174196979999999,1.3100749,69.45213124,30.54786876,100.0
2003,A.2.2: Expenditure by year,64.09649252,3.802756395,0.745620547,1.3972976469999998,70.04216711,29.95783289,100.0
2004,A.2.2: Expenditure by year,64.14170168,3.6216223010000004,0.803310732,1.3960465309999999,69.96268125,30.03731875,100.0
2005,A.2.2: Expenditure by year,64.34780347,3.502286532,0.7181759940000001,1.387531941,69.95579794,30.04420206,100.0
2006,A.2.2: Expenditure by year,63.95065691,3.4803835480000003,0.683700848,1.38868041,69.50342172,30.49657828,100.0
2007,A.2.2: Expenditure by year,64.49843919,3.5364918380000003,0.599508377,1.3629943530000002,69.99743376,30.00256624,100.0
2008,A.2.2: Expenditure by year,64.88315992,3.688240495,0.504378659,1.382936889,70.45871596,29.54128404,100.0
2009,A.2.2: Expenditure by year,65.18183429,3.801121488,0.515405026,1.341140703,70.83950151,29.16049849,100.0
2010,A.2.2: Expenditure by year,65.25603085,3.39999629,0.497775979,1.3186879409999999,70.47249106,29.52750894,100.0
2011,A.2.2: Expenditure by year,65.6054891,3.352614087,0.434805185,1.286039149,70.67894752,29.32105248,100.0
2012,A.2.2: Expenditure by year,65.51257527,3.330628677,0.42337889700000003,1.329280287,70.59586313,29.40413687,100.0
2013,A.2.2: Expenditure by year,65.75598389,3.2727489260000002,0.387630586,1.375788936,70.79215233,29.20784767,100.0
2014,A.2.2: Expenditure by year,65.43744647,3.2334005789999996,0.373640504,1.36489621,70.40938377,29.59061623,100.0
2015,A.2.2: Expenditure by year,65.49625016,3.1336448439999995,0.36268826600000004,1.3501213859999999,70.34270466,29.65729534,100.0
2016,A.2.2: Expenditure by year,64.59756435,3.23200446,0.34840118200000003,1.354346165,69.53231616,30.46768384,100.0
2017,A.2.2: Expenditure by year,64.40046493,3.164457645,0.340228208,1.3694906359999999,69.27464142,30.72535858,100.0
2018,A.2.2: Expenditure by year,64.17218028,3.11813106,0.328233787,1.3304978170000001,68.94904294,31.05095706,100.0
1975,A.2.3: Expenditure by year,376.3218682,17.20811675,3.095894205,5.231387269,401.8572664,125.27126659999999,527.1285330000001
1976,A.2.3: Expenditure by year,431.98118480000005,18.75024174,4.510880703,6.049392935,461.29170020000004,137.85149750000002,599.1431977000001
1977,A.2.3: Expenditure by year,467.9283051,20.02986523,4.811646403,6.454586104,499.2244028,151.9612122,651.185615
1978,A.2.3: Expenditure by year,512.0084946000001,20.26466853,4.661014091,7.251150402,544.1853277,169.687547,713.8728746
1979,A.2.3: Expenditure by year,565.9331717,21.1899726,6.446910356,7.718911156,601.2889658,190.7875469,792.0765127000001
