,Year,Province Code,GDP ($mm),Pop (k),GDP/capita ($),CPI (healthcare),Private health spend/capita ($),Private health spend total ($mm),Public health spend/capita ($),Public health spend total ($mm),Private drug spend/capita ($),Private drug spend total ($mm),Public drug spend/capita ($),Public drug spend total ($mm),Private hospital spend/capita ($),Private hospital spend total ($mm),Public hospital spend/capita ($),Public hospital spend total ($mm),Non-working age pop (k),Working age pop (k),Pct working age (%)
114,2001,N.S.,26727.0,932.4,28664.736164736165,107.90078090000002,998.0738956,930.5931214,2233.734736,2082.709697,386.5345263,360.4005404,163.963718,152.877967,115.2288235,107.4380875,1025.63174,956.2877529,356.97900000000004,575.4100000000001,61.71278421278422
115,2002,N.S.,28004.0,934.5,29966.827180310327,110.2342673,1115.60341,1042.5391960000004,2423.002278,2264.31259,430.9304511,402.707523,178.9497212,167.2297671,135.1257508,126.27596,1110.670947,1037.929775,355.005,579.5020000000001,62.0119850187266
116,2003,N.S.,29788.0,936.5,31807.7949813134,112.2553973,1187.043314,1111.6814949999996,2652.552787,2484.150168,455.2847588,426.3800953,197.1136806,184.5995244,157.170704,147.1924075,1204.830699,1128.339612,353.492,583.021,62.255312333155366
117,2004,N.S.,30869.0,938.0,32909.381663113,114.2949012,1212.195016,1136.990437,2756.070275,2585.083676,486.8995423,456.6922947,212.5892437,199.400207,156.1559022,146.46799,1253.541777,1175.772045,351.47900000000004,586.481,62.52462686567164
118,2005,N.S.,32126.0,936.0,34322.64957264957,117.1612311,1290.424519,1207.824445,3013.344049,2820.459896000001,523.7958148,490.2676447,231.6396836,216.8124275,154.3585816,144.4780887,1344.587178,1258.520153,349.473548961,586.5164510499999,62.662014001068364
119,2006,N.S.,32727.0,937.9,34893.91193090948,119.0721176,1421.984857,1333.635515,3345.074305,3137.241493,567.0145391,531.7853588,254.9855654,239.1430572,153.7175562,144.1669308,1480.452484,1388.470491,349.013,588.856,62.784518605395036
120,2007,N.S.,33942.0,935.1,36297.72216875201,121.1299954,1509.706295,1411.682575,3585.787360000001,3352.965773,605.0073512,565.7248289,260.2683601,243.3693957,171.7521576,160.6004618,1579.925964,1477.342951,347.777,587.2939999999999,62.80547535022991
121,2008,N.S.,35416.0,935.9,37841.6497489048,122.15893429999998,1586.335787,1484.596142,3774.182433,3532.125242,605.6917555,566.8457148,273.3663078,255.8339596,195.6139433,183.068243,1659.205356,1552.792221,348.3560000000001,587.5090000000001,62.77476226092533
122,2009,N.S.,34933.0,938.2,37234.065231293964,125.5029858,1771.242703,1661.769277,3856.157041,3617.823399,633.6919668,594.5260011,297.4402117,279.056622,206.1800449,193.436881,1754.139104,1645.722782,348.93,589.264,62.80793007887444
123,2010,N.S.,36849.0,942.1,39113.68219934189,126.1276987,1966.973998,1853.033095,4293.836423,4045.107361,739.7046735,696.8558009,314.0074099,295.8179026,214.6742694,202.238833,1816.770546,1711.530478,349.208,592.865,62.930156034391246
124,2011,N.S.,37655.0,944.5,39867.654843832715,127.1474506,1921.503674,1814.800654,4587.1920009999985,4332.460642,752.6399694,710.8451192,324.3635101,306.3512801,191.3188019,180.6946775,1835.65743,1733.721537,349.91700000000003,594.5519999999999,62.948861831656956
125,2012,N.S.,37836.0,944.9,40042.332521959994,126.8350942,1923.416929,1817.519363,4638.805572,4383.406854,737.8521141,697.2281903,321.096238,303.4176424,173.3656234,163.8206323,1866.680402,1763.906579,353.74199999999996,591.201,62.56757328817864
126,2013,N.S.,38615.0,943.0,40949.098621421,125.6683509,1854.612981,1748.990917,4658.851298,4393.525058,747.6058708,705.0289689,323.5963954,305.1672571,179.928912,169.6817805,1935.892266,1825.641266,356.70000000000005,586.349,62.179109225874875
127,2014,N.S.,39739.0,942.2,42176.820208023775,125.9898944,1937.51644,1825.545427,4738.189529,4464.364818,762.7813099,718.6994152,319.061462,300.6225811,189.0060878,178.083237,2007.678916,1891.653143,359.74,582.469,61.8201018891955
128,2015,N.S.,40580.0,941.5,43101.433882103025,127.2393202,1911.668382,1799.9218059999994,4852.666244,4569.003639000001,789.9392359,743.7633378,326.5770393,307.4869784,202.6959046,190.8473155,2026.369247,1907.917832,363.25000000000006,578.2950000000001,61.422729686670216
129,2016,N.S.,41726.0,948.6,43986.92810457516,129.499311,1954.485254,1854.059893,4833.754157,4585.386200999998,793.6254783,752.847414,322.107393,305.556871,185.9980364,176.4410853,2033.764315,1929.265437,,,
130,2017,N.S.,42758.64882,953.9,44825.08525002621,131.1621497,2039.28165,1945.207548,4942.618475,4714.610542,823.6730237,785.6761634,328.5185703,313.3636801,190.388443,181.6056338,2089.060511,1992.690061,,,
131,2018,N.S.,43870.96576,955.5,45914.14522239665,132.4478709,2134.286864,2039.264628,5038.685784,4814.354557,857.2305575,819.0651328,334.2997732,319.4161544,196.410302,187.665767,2098.562586,2005.130857,,,
132,1975,N.B.,,677.0,,27.83933681,92.57001954,62.67018094,317.2951228,214.80975,31.59119387,21.38733302,7.007354473,4.744,9.812364199,6.643,192.8902088,130.58725,,,
133,1976,N.B.,,689.5,,31.49039738,97.95617698,67.54019629,368.8864588,254.345,31.51144518,21.72695239,11.11793576,7.66575,11.45622732,7.899,225.8116097,155.69575,,,
134,1977,N.B.,,695.8,,33.31592766,107.0212352,74.46344908,408.7756654,284.41875,36.59370836,25.46124359,13.57896583,9.448,13.40362355,9.326,247.7579184,172.3855,,,
135,1978,N.B.,,699.5,,35.20665546,130.1694214,91.05793601,448.3009403,313.60175,40.51011443,28.33820239,15.89343763,11.118,15.4145474,10.783,268.4969565,187.82275,,,
136,1979,N.B.,,703.2,,36.48995486,168.7939756,118.6928854,499.6306077,351.33125,52.17615,36.68932951,18.93677597,13.316,22.43658114,15.777,283.5812777,199.40925,,,
137,1980,N.B.,,706.1,,41.39304363,208.5197306,147.23119430000003,588.0936667000002,415.24,67.00507922,47.31081233,21.46894536,15.15875,27.86377709,19.674,326.2989358,230.3925,,,
138,1981,N.B.,6625.0,706.3,9379.866912077021,46.24303036,251.6110056,177.7191435,712.7972251,503.4665,89.6569051,63.32691349,26.40321382,18.64925,36.46621598,25.757,392.1909178,277.01425,,,
139,1982,N.B.,7258.0,708.2,10248.517367975148,51.38507833,296.6479791000001,210.0949982,860.1912514,609.21325,106.0255486,75.09047427,33.50888836,23.732,49.54040354,35.086,461.9668046,327.17875,,,
140,1983,N.B.,8288.0,715.4,11585.127201565558,56.08460926,325.0925805,232.5575782,925.4859106,662.05375,109.5984562,78.40213246,39.55641791,28.297,58.80412325,42.066,491.3144887,351.46575,,,
141,1984,N.B.,9178.0,721.0,12729.542302357837,58.51845296,368.3225078,265.5678946,984.0940612,709.5515,112.2647593,80.94513678,43.36133967,31.26439313,64.468392,46.483,521.0507337,375.688,,,
142,1985,N.B.,9756.0,723.7,13480.724056929666,60.99654837,378.6845703,274.0513727,1039.369595,752.1845,120.4829867,87.19269407,49.27891252,35.66280404,67.88099374,49.125,546.5473619,395.5325,,,
143,1986,N.B.,10949.0,725.2,15097.904026475455,64.31542614,394.2434249,285.8871965,1110.464123,805.2575004,138.5058651,100.4380821,57.26161019,41.52348567,72.96692325,52.91225626,568.267547,412.0814848,,,
144,1987,N.B.,12037.0,727.9,16536.61217200165,69.33356934,419.1409429,305.0843095,1221.260916,888.9313956,164.4473264,119.6979199,66.43012978,48.35316286,76.38145679,55.59653477,616.0155973,448.385433,,,
145,1988,N.B.,12822.0,730.4,17554.764512595837,74.16585539,452.4550223,330.4541452,1315.802777,961.0070843,168.3145876,122.9299056,70.35953395,51.38764849,80.38445156,58.70942727,671.0703204,490.1215771,,,
146,1989,N.B.,13435.0,735.2,18273.939064200218,78.20161076,479.2776532,352.3754748,1425.044683,1047.724202,172.3433104,126.7105933,76.23136826,56.04697904,84.81758571,62.359755,729.2513421,536.1616302,,,
147,1990,N.B.,13764.0,740.1,18597.48682610458,84.02513497,536.9611173999998,397.4156622,1534.995953,1136.0812039999996,190.8374309,141.2425994,84.33914565,62.42108848,104.189728,77.1129015,797.211378,590.0320851,,,
148,1991,N.B.,13904.0,745.5,18650.570087189804,89.95486326,593.3778932,442.379834,1592.010028,1186.888052,207.7291415,154.8678914,89.90417262,67.026078,118.4825939,88.33209125,845.0472882,630.0064147,,,
149,1992,N.B.,14376.0,748.1,19216.682261729715,93.9817683,623.9086238,466.7479132,1648.304941,1233.101872,227.3689557,170.0953979,86.57452554,64.76666228,119.712569,89.557332,888.7876689,664.9047215,,,
150,1993,N.B.,15099.0,748.8,20164.26282051282,96.09699973,671.6695971,502.95425430000006,1650.786515,1236.1287519999996,244.0709035,182.7632214,83.50253391,62.52769943,119.2588313,89.302444,865.7261785,648.2661511,,,
151,1994,N.B.,15769.0,750.2,21019.728072513997,98.15912913,694.1834196000003,520.7784839999998,1695.78585,1272.183632,254.8520069,191.1907401,83.03028269,62.28956717,114.5313428,85.921757,863.3990659,647.7245695,,,
152,1995,N.B.,16997.0,751.0,22632.49001331558,98.53084344,660.9482161000002,496.3582304,1761.673835,1322.980055,260.4794005,195.6145597,87.02492903,65.35389418,71.60113598,53.7709495,864.1540231,648.9615241,,,
153,1996,N.B.,17263.0,752.3,22946.962647879835,99.42472785,649.1993517000002,488.40046270000005,1761.662623,1325.319931,252.9562592,190.3020293,82.31280328,61.92490966,59.42871774,44.7089375,878.648329,661.0176817,293.487,458.825,60.989631795826135
154,1997,N.B.,17407.0,752.5,23132.225913621263,100.0,732.7580687999997,551.4319554,1735.078945,1305.721514,306.9863253,231.0204102,85.01143444,63.97475991,42.8387348,32.23799,866.0822344,651.7641229,291.486,461.057,61.270033222591366
155,1998,N.B.,18170.0,750.6,24207.300826005863,100.8938844,737.6356334,553.6331623,1826.136472,1370.608555,311.5530852,233.8364797,95.4280236,71.62359854,37.55118573,28.18408,901.2233916,676.4141178,288.967,461.584,61.495337063682385
156,1999,N.B.,19695.0,750.6,26239.00879296563,102.5311975,808.6647788,606.9926783,1957.705637,1469.4753859999994,344.6268194,258.6806815,107.6836153,80.82850618,38.04265458,28.555235,958.8626348,719.7328412,286.951,463.6599999999999,61.77191580069277
157,2000,N.B.,20825.0,750.5,27748.16788807462,103.7171431,850.9021377,638.6173706000002,2105.168507,1579.966857,370.9307778,278.3902255,125.189639,93.95707747,34.32869032,25.7643,1021.460031,766.6241397,284.88,465.6379999999999,62.043704197201855
158,2001,N.B.,21432.0,749.9,28579.810641418855,105.584565,970.5570778,727.8110471,2320.354171,1740.010389,407.7594937,305.7747667,145.3079487,108.9649776,64.60148822,48.44401,1105.279298,828.8378926,282.64000000000004,467.24999999999994,62.30830777436991
159,2002,N.B.,22017.0,750.3,29344.262295081968,106.2040889,1048.194701,786.4887855000003,2437.809421,1829.154229,445.8815369,334.556956,162.8130395,122.1630195,82.5019125,61.9034125,1167.823805,876.2497321,280.489,469.8380000000001,62.620018659203005
160,2003,N.B.,23099.0,751.2,30749.467518636848,107.7617488,1119.3657,840.89214,2592.952495,1947.882959,485.6160005,364.8054231,180.8591137,135.8653451,88.97686037,66.841375,1235.521833,928.1511826,278.791,472.43100000000004,62.89017571884984
161,2004,N.B.,24416.0,752.0,32468.08510638298,108.85034070000002,1149.589516,864.5372992999999,2813.311993,2115.723152,494.4185424,371.8225206,198.5190889,149.2942956,88.75347388,66.7461625,1328.001866,998.7105235,277.09700000000004,474.94300000000004,63.15731382978724
162,2005,N.B.,25562.0,751.3,34023.69226673766,110.4699531,1309.940029,984.1828327,3075.981137,2311.043072,556.5970281,418.1819226,215.4321761,161.8582871,95.16158915,71.49671,1411.238572,1060.290353,277.470516295,473.8484837,63.07047566884067
163,2006,N.B.,26718.0,745.6,35834.22746781116,111.9302593,1413.917695,1054.229759,3391.3533450000004,2528.623576,589.1286555,439.2596277,232.073233,173.0358912,105.9254871,78.9789965,1509.243706,1125.30569,275.366,470.24300000000005,63.06907188841202
164,2007,N.B.,28286.0,745.4,37947.41078615509,113.0188512,1441.552889,1074.5436140000004,3553.826626,2649.047244000001,604.5661809,450.6478632,241.428861,179.962763,108.495533,80.87332975,1639.755244,1222.285037,275.805,469.6019999999999,62.999999999999986
165,2008,N.B.,28778.0,746.9,38529.92368456286,113.6118241,1528.610736,1141.650571,3807.259542,2843.470825,645.0676262,481.771982,253.6338847,189.4277349,114.2545179,85.331558,1757.910159,1312.903992,276.57199999999995,470.283,62.96465390279824
166,2009,N.B.,28858.0,750.0,38477.333333333336,120.2672803,1733.091118,1299.738616,4009.574271,3006.996263,707.4091793,530.5243437,270.2956851,202.7093302,124.598101,93.44284425,1855.678495,1391.67351,278.221,471.733,62.89773333333334
167,2010,N.B.,30213.0,753.0,40123.50597609562,121.8249403,1802.820239,1357.6029640000004,4174.782781,3143.795124,794.1706439,598.0454384,286.9896918,216.1158655,136.3599992,102.6850793,1926.202928,1450.515558,279.58799999999997,473.456,62.87596281540505
168,2011,N.B.,31501.0,755.5,41695.565850430175,121.8160899,1784.2080629999994,1348.022718,4401.016706,3325.100152,799.0254617,603.6877071,298.7685405,225.7285954,143.6374121,108.522374,1940.201946,1465.880776,281.232,474.298,62.77935142289874
169,2012,N.B.,31722.0,756.8,41915.96194503171,121.5771307,1831.3230670000007,1385.903177,4368.434813,3305.930992,818.4215996,619.3626429,288.2843401,218.166958,143.7516045,108.787908,1968.791522,1489.936142,285.044,471.73299999999995,62.332584566596196
170,2013,N.B.,31810.0,755.7,42093.42331613074,117.4174706,1806.326636,1365.059102,4349.498893,3286.959809,792.4692485,598.8769358,270.9351352,204.748391,144.662528,109.322919,1988.563919,1502.777639,288.11899999999997,467.591,61.87521503242027
171,2014,N.B.,32388.0,754.7,42915.065588975755,117.4263209,1885.998945,1423.3634029999994,4347.515904999998,3281.0702530000012,809.440193,610.8845137,272.9910333,206.0263328,143.6842189,108.43848,1976.718269,1491.829278,291.13000000000005,463.56999999999994,61.42440704915859
172,2015,N.B.,33028.0,753.9,43809.52380952381,118.8600761,1928.167083,1453.730003,4491.718009,3386.503842,866.4455271,653.2514065,288.9230573,217.8318055,158.6375613,119.6038375,2079.587393,1567.892437,294.55400000000003,459.39000000000004,60.93513728611223
173,2016,N.B.,34224.0,757.4,45186.163189860046,120.5062395,1934.525015,1465.178294,4545.452379,3442.652904,837.4073362,634.2389179,299.3919016,226.754636,154.34803,116.9007283,2059.514826,1559.843577,,,
174,2017,N.B.,35551.35512,759.7,46796.57117283138,122.3913621,1990.225572,1511.884807,4685.559711999998,3559.408863,866.9271241,658.5655245,307.4509908,233.5566824,155.7754198,118.3355765,2056.291787,1562.072337,,,
175,2018,N.B.,36666.97377,761.0,48182.61993429698,123.0646188,2065.959133,1572.093315,4868.591095000002,3704.758431,889.3807361,676.7750087,308.2926264,234.5955298,157.1165064,119.5579359,2125.933198,1617.73063,,,
176,1975,Que.,,6330.3,,30.47862779,113.0340348,715.5398025000003,420.71174620000005,2663.23325,38.43140535,243.282479,7.170074297,45.38875,14.58413372,92.322,238.4140635,1509.2335,,,
177,1976,Que.,,6396.8,,32.91971066,118.0342184,755.0373933,487.7662028,3120.12675,38.04225828,243.3474624,8.275195892,52.9345,17.34720055,110.966,273.8980879,1752.06225,,,
178,1977,Que.,,6431.7,,34.09076657,120.1500722,772.7712616,532.9702006,3427.9135,37.53873618,241.4385277,10.66581443,68.5995,17.41852137,112.031,285.6577412,1837.26975,,,
179,1978,Que.,,6440.2,,36.18463229,130.9235345,843.1741400000003,593.6770548999998,3823.40075,33.02012138,212.6562848,14.16675064,91.23675,20.49904328,132.018,327.7594278,2110.83725,,,
180,1979,Que.,,6466.4,,38.86802821,139.421214,901.5587756,656.9382393999998,4248.051052000002,34.15154245,220.838866,16.81037276,108.70325,24.93304275,161.228,360.9960985,2334.35925,,,
181,1980,Que.,,6507.0,,43.21824343,167.3632168,1089.032452,737.2795816,4797.4782380000015,32.52083605,211.6130802,19.966075,129.91925,30.67650223,199.612,403.7272168,2627.053,,,
182,1981,Que.,82460.0,6547.7,12593.735204728378,48.08132613,213.3660414,1397.057896,838.5694112000001,5490.705126,56.87913553,372.4278001,23.21217892,151.9865,37.49451144,245.503,460.282305,3013.79275,,,
183,1982,Que.,87286.0,6579.3,13266.760901615673,52.99935892,232.3300883,1528.567027,966.9582625,6361.898827,64.39575832,423.6783688,23.85261176,156.93325,43.29160137,284.828,549.3454081,3614.30275,,,
184,1983,Que.,94172.0,6602.3,14263.514229889584,56.48868944,248.874251,1643.146947,1065.106637,7032.172720000001,68.25700015,450.6544207,27.03262703,178.478,48.49645231,320.189,591.0813066,3902.50675,,,
185,1984,Que.,103018.0,6631.2,15535.348051634697,59.55673596,275.60615319999994,1827.602831,1128.925884,7486.146870999999,78.04720192,517.5475419,31.35656046,207.932,56.96786651,377.766,608.8965335,4037.722,,,
186,1985,Que.,110112.0,6665.7,16519.19528331608,62.5698324,315.6996373,2104.359704,1189.310511,7927.589451000003,85.97437557,573.0795672,39.00005581,259.96275,60.80574859,405.313,625.9422113,4172.34425,,,
187,1986,Que.,119828.0,6708.5,17862.115226950882,66.47128858,370.5928212,2486.110082,1200.164234,8051.263356999999,107.9207392,723.9828253,45.00442506,301.9107454,76.77938512,515.0720481,660.21923,4429.059577,,,
188,1987,Que.,131318.0,6782.5,19361.297456690012,70.78487041,388.0807736,2632.172206,1273.330646,8636.412220999999,113.4201354,769.2762647,50.98416475,345.8019838,77.00920035,522.3177507,714.6948864,4847.44451,,,
189,1988,Que.,143225.0,6839.0,20942.389238192718,75.11676893,416.8483285,2850.838224,1378.613548,9428.379413,130.1753589,890.2731851,58.19834451,398.020224,74.50007069,509.5082184,762.4606509,5214.491265,,,
190,1989,Que.,150304.0,6928.7,21692.95827500108,79.36624233,459.2112296,3181.732254,1458.947537,10108.59521,148.2600937,1027.248228,65.44286999,453.4333588,75.89517907,525.8541683,806.4977109,5587.972625,,,
191,1990,Que.,155692.0,7003.9,22229.32937363469,83.42339042,499.347041,3497.3647560000004,1553.524906,10880.6958,158.0706997,1107.10758,74.55562524,522.1783543,90.67978798,635.1099908,683.2628226,4785.488085,,,
192,1991,Que.,157519.0,7064.6,22296.945333069107,87.08672955,540.6293415,3819.322477,1693.358436,11962.8763,176.0654166,1243.829277,88.2455393,623.4182015,97.92736199,691.8162705,670.3115701,4735.473734,,,
193,1992,Que.,160876.0,7108.0,22633.089476646033,91.27209451,582.6590792999998,4141.540736,1735.8307170000005,12338.28473,188.749806,1341.633621,94.27072979,670.0763474,106.9360452,760.1014095,697.4944367,4957.790456,,,
194,1993,Que.,164862.0,7155.3,23040.543373443463,93.89138199,621.1587077,4444.56013,1743.981666,12478.66492,206.1994665,1475.413476,99.096734,709.0641851,112.2823367,803.410772,709.2332052,5074.757204,,,
195,1994,Que.,174084.0,7191.9,24205.56459350102,94.93543365,647.0540373,4653.537578,1769.017626,12722.56956,213.0111292,1531.951332,107.0295527,769.7441279,103.5621871,744.8072368,707.5442084,5088.575871,,,
196,1995,Que.,181476.0,7219.4,25137.26902512674,96.69383643,645.9840942000002,4663.647285,1780.6474420000006,12855.28805,229.2258205,1654.883433,116.1197918,838.3205666,69.29644229,500.2819231,713.4281352,5150.555897,,,
197,1996,Que.,184431.0,7246.9,25449.640535953306,97.95768843,652.4076713,4727.930543,1740.996875,12616.82329,236.8725447,1716.590697,105.9488794,767.8005105,55.15565113,399.7072676,700.94941,5079.707476,2748.673,4498.223,62.07099587409789
198,1997,Que.,192964.0,7274.6,26525.719627196,100.0,684.0251616,4976.029961,1792.569715,13040.28143,249.5291843,1815.23249,124.2371651,903.7794083,46.57697708,338.8302748,732.1508071,5326.126226,2753.6510000000003,4520.978999999999,62.147458279493016
199,1998,Que.,200311.0,7296.0,27454.906798245614,102.5460207,692.2596599999997,5050.7077880000015,1933.440953,14106.33299,254.5628514,1857.283691,141.2777128,1030.758378,44.23224873,322.7172924,777.2931179,5671.109601,2755.2,4540.772999999999,62.236472039473675
200,1999,Que.,215447.0,7323.3,29419.387434626467,104.7623409,766.9626307999997,5616.703570000002,1987.757312,14556.959019999998,286.7715038,2100.116048,167.2301283,1224.677736,43.37320076,317.6353081,782.3436172,5729.34327,2749.2509999999993,4574.057,62.45895975857878
201,2000,Que.,230286.0,7357.0,31301.61750713606,107.0794029,811.14332,5967.604928,2135.939375,15714.167919999998,306.9547676,2258.275127,202.8478134,1492.357246,45.58787012,335.3912825,832.6908363,6126.13063,2742.984,4614.045,62.71639255131167
202,2001,Que.,238570.0,7397.0,32252.264431526295,109.1675062,895.1825636,6621.656471,2293.544102,16965.322790000002,327.2755338,2420.853851,233.6931316,1728.625757,49.27503958,364.486975,874.1873023,6466.354733,2737.999,4658.991,62.98487224550493
203,2002,Que.,249688.0,7445.7,33534.523281894246,109.8910157,959.1375226,7141.493412999997,2391.882776000001,17809.34922,356.7608639,2656.350419,259.590025,1932.841131,46.58682106,346.87359,899.8615948,6700.13997,2738.8320000000003,4706.9130000000005,63.21652766026029
204,2003,Que.,259118.0,7494.7,34573.49860568135,111.4845682,1023.595838,7671.5334939999975,2507.428176000001,18792.39688,376.5278678,2821.959646,291.5973275,2185.431574,46.22672619,346.4549825,946.9679425,7097.231169,2744.491,4750.1990000000005,63.3807757481954
205,2004,Que.,271848.0,7549.0,36011.127301629356,114.2137558,1044.924061,7888.115018,2641.117315,19937.75236,408.1394842,3081.038436,313.7132912,2368.216616,48.80004084,368.3907275,991.9240722,7488.01895,2754.8469999999998,4794.137000000001,63.50691482315539
206,2005,Que.,280131.0,7598.0,36869.04448539089,116.2469091,1127.611016,8567.626838,2756.749261,20945.87462,434.8217506,3303.790445,328.7410762,2497.785874,50.62063546,384.6173093,1031.242004,7835.411806,2774.98150046,4823.0524994,63.47792181363516
207,2006,Que.,290555.0,7631.9,38071.122525190316,117.93204509999998,1193.540872,9108.952354,2944.500526000001,22472.05406,464.5550596,3545.425216,355.5016906,2713.143754,51.79795286,395.3153979,1112.574869,8491.030102,2789.384,4842.489,63.450634835362095
208,2007,Que.,306029.0,7692.7,39781.74113120231,119.5347559,1242.90094,9561.308803,3115.058835000001,23963.32524,488.8455483,3760.559748,386.4245075,2972.66172,52.23344728,401.8181203,1187.923853,9138.384588,2825.1760000000004,4867.56,63.27505297229842
209,2008,Que.,314380.0,7761.5,40505.05701217548,121.3297921,1321.811275,10259.2435,3305.321023,25654.26234,506.4181697,3930.56665,409.1788913,3175.843602,53.32977241,413.9192418,1242.784687,9645.878319,2867.8540000000003,4893.65,63.05031243960574
210,2009,Que.,314541.0,7843.5,40102.12277682157,123.7842293,1372.481032,10765.02066,3510.417612,27533.87278,532.2468249,4174.664665,419.844286,3293.038161,54.68409398,428.913324,1303.376941,10223.00445,2910.7450000000003,4932.73,62.88939886530247
211,2010,Que.,328137.0,7929.4,41382.324009382806,126.6599505,1516.838046,12027.56251,3607.362827,28604.09654,614.1505642,4869.823988,422.0018824,3346.206957,55.7641621,442.1743952,1352.007004,10720.55702,2948.719,4980.646,62.812394380407085
212,2011,Que.,344734.0,8007.7,43050.31407270502,128.1527612,1544.256465,12365.87455,3722.166826,29805.83152,606.1731691,4854.026214,425.7225493,3409.039726,56.78078997,454.6810335,1364.095829,10923.21015,2985.246,5022.409999999999,62.71975723366259
213,2012,Que.,354044.0,8085.9,43785.354753336054,130.0210642,1606.814669,12992.55237,3772.7234020000014,30505.8868,635.8920299,5141.76318,427.2629684,3454.8082,57.82702196,467.5838638,1363.167247,11022.44222,3030.5759999999996,5055.33,62.52031313768411
214,2013,Que.,364530.0,8151.3,44720.47403481653,131.1017492,1629.040957,13278.85206,3905.39991,31834.207360000004,650.6313253,5303.511291,424.46511,3459.95561,59.12880082,481.9784271,1372.200788,11185.26282,3075.787,5075.543999999999,62.266681388244805
215,2014,Que.,375513.0,8210.5,45735.70428110346,132.3472845,1681.189508,13803.46194,3945.679648,32396.132960000014,654.9276796,5377.305326,437.0076743,3588.065931,60.51719556,496.8784312,1390.159079,11413.94699,3122.287,5088.246000000001,61.972425552646015
216,2015,Que.,384511.0,8254.9,46579.728403735964,134.04157890000002,1687.1804129999994,13927.52584,4285.24213,35374.29668,672.8032926,5553.931974,438.9846322,3623.779508,61.98892609,511.7131299,1424.898765,11762.41392,3165.477,5089.435,61.653502768052924
217,2016,Que.,394819.0,8321.9,47443.37230680494,135.6351314,1862.087725,15496.08549,4302.557293,35805.3999,692.6832321,5764.432277,451.0233003,3753.365391,63.31276634,526.8817504,1379.022638,11476.07194,,,
218,2017,Que.,415622.9473,8394.0,49514.289647367164,136.8073999,1951.901895,16384.330869999998,4504.4118979999985,37810.18662,715.4519554,6005.528039,445.6984224,3741.207711,64.76417397,543.6326783,1466.892033,12313.1416,,,
219,2018,Que.,431948.881,8450.1,51117.60582714997,137.8593949,2059.284991,17401.12766,4690.095783,39631.69537,737.4346196,6231.383229,448.4563083,3789.492715,66.31201039,560.3419455,1551.44642,13109.84994,,,
220,1975,Ont.,,8319.7,,28.12017796,131.5337915,1094.326683,400.0718942,3328.493341,39.71126442,330.3873156,4.872599353,40.53875,14.39264073,119.743,218.7391407,1819.852341,,,
221,1976,Ont.,,8413.8,,30.92845891,143.2664373,1205.41601,455.8441462,3835.384212,41.88707138,352.4296925,8.216491867,69.13196857,16.333393,137.426,252.1436151,2121.487462,,,
222,1977,Ont.,,8505.7,,32.95969871,159.89698719999996,1360.034525,489.6196001,4164.553516,42.86674141,364.6112995,10.59445253,90.11315009,17.9468055,152.65,264.0922417,2246.287267,,,
223,1978,Ont.,,8591.7,,35.7122708,185.8468513,1596.745038,520.8655866,4475.133882,48.59042731,417.4755891,12.79864226,109.9624146,24.17605312,207.714,273.986307,2354.015004,,,
224,1979,Ont.,,8662.7,,38.35448989,216.3983568,1874.585606,560.2634279,4853.372147,53.54405286,463.8339785,14.92133884,129.2585,29.51414121,255.671,290.4868818,2516.389382,,,
225,1980,Ont.,,8745.3,,41.86177715,243.2081554,2126.9175800000007,629.7301732000002,5507.151575,59.39895726,519.4590873,18.10581646,158.34,33.64955811,294.274,317.1732852,2773.761575,,,
226,1981,Ont.,132288.0,8811.3,15013.448639814784,46.80771039,269.83133589999994,2377.568088,740.5700684999997,6525.393932,69.23042625,610.0108856,22.5241712,198.4675,39.0325527,343.928,372.8327213,3285.145432,,,
227,1982,Ont.,139951.0,8922.3,15685.52951593199,52.8067701,317.6501711,2834.165039,853.0388339,7611.054739,78.10748231,696.8971397,28.23439043,251.91525,45.83546096,408.957,430.3919255,3840.07899,,,
228,1983,Ont.,156457.0,9041.7,17303.936206686794,57.57404795,359.8362084,3253.52097,950.7672777,8596.525873,86.99476629,786.5781425,33.9345422,306.825,51.25755502,463.454,475.4817332,4299.149874,,,
229,1984,Ont.,175643.0,9171.9,19150.121566959955,60.883874,395.2080424,3624.809434,1031.538948,9461.174136,98.09175048,899.6879224,38.74444472,355.36025,58.68913558,538.291,506.830223,4648.597136,,,
230,1985,Ont.,193459.0,9297.6,20807.412665634143,64.76727786,430.1674656,3999.503519,1123.2312869999996,10443.29905,114.7851719,1067.220875,45.22502158,420.4818994,63.82444838,593.411,540.2398348,5022.906876,,,
231,1986,Ont.,212769.0,9438.1,22543.626365476102,68.63187588,462.7069422,4367.089198,1242.847564,11730.15936,133.4167898,1259.205273,53.45034058,504.4713699,62.24813017,587.5060693,585.3679431,5524.779915,,,
232,1987,Ont.,235466.0,9644.3,24415.04308244248,72.8725905,503.3557377,4854.4926,1349.183097,13011.86988,144.0099112,1388.868738,62.20099146,599.8824095,68.3521702,659.2059642,620.8633975,5987.766788,,,
233,1988,Ont.,260244.0,9842.2,26441.64922476682,77.11330512,540.7215315000002,5321.897568,1473.029384,14497.87189,158.1259584,1556.30968,71.15792324,700.3515795,73.42400383,722.6548319,663.549089,6530.792797,,,
