Year ,Category,Hospitals ,Other Institutions ,Physicians ,Other Professionals: Dental Services ,Other Professionals: Vision Care Services ,Other Professionals: Other services,Total Other Professionals,Prescribed Drugs ,Over-the-Counter Drugs,Drugs: Personal Health Supplies,Total Drugs,Capital ,Public Health ,Administration ,Other health spending: Health Research ,Other health spending: Other Health Care Goods,Other health spending: Other Health Care Services,Total Other Health Spending,Grand Total 
2008,H.1: Expenditure by year,4676.427223,4765.919059,390.3492122,11205.89645,3657.146143,2244.535023,17107.57762,12634.9949,2532.222081,1984.085462,17151.30244,1406.3,,3205.748009,1203.24066,450.787801,503.86636780000003,2157.894829,50861.51839
2009,H.1: Expenditure by year,5021.855889,5208.592594,398.1372347,11447.1566,3929.1562280000003,2208.247814,17584.56064,13290.16101,2704.621374,2052.9337969999997,18047.71618,1517.0,,3155.3461350000002,1261.18875,432.20025830000003,489.012025,2182.4010329999996,53115.609710000004
2010,H.1: Expenditure by year,5293.161324000001,5583.329535,295.902291,11205.93352,3590.1112759999996,2173.776707,16969.8215,15848.385690000001,2749.743667,2092.589286,20690.71864,2057.0,,3364.9832549999996,1261.048164,758.7543063999999,792.1481008,2811.9505719999997,57066.86712
2011,H.1: Expenditure by year,5549.174121,5714.019644,364.22022610000005,11171.9893,3670.354021,2358.953747,17201.29706,16081.21041,2915.9030850000004,2154.577958,21151.69146,2026.578065,,3619.5033270000004,1225.9140710000001,755.1443925,902.0618741000001,2883.1203379999997,58509.60424
2012,H.1: Expenditure by year,5658.380346,5978.711085,443.24396960000007,11701.23808,3573.93945,2867.547278,18142.72481,16303.78976,2999.099955,2184.538285,21487.428,2154.3,,3520.027158,1417.574502,824.3853357999999,894.5288166000001,3136.488655,60521.30402
2013,H.1: Expenditure by year,5891.864692,6402.211095,389.82088210000006,12001.23328,3645.57309,2942.1088870000003,18588.915259999998,16597.197369999998,3052.471877,2200.845494,21850.514740000002,1382.6,,3657.079812,1461.480683,775.4412391,843.7975457,3080.7194670000003,61243.72595
2014,H.1: Expenditure by year,6130.228927,6786.348473,409.1936946000001,12326.18087,3727.746729,3459.2332530000003,19513.16085,16914.84001,3067.022566,2228.074249,22209.93682,1745.6293210000001,,3632.2261270000004,1506.7231,1172.470467,872.9633727,3552.156939,63978.881160000004
2015,H.1: Expenditure by year,6459.1313740000005,7239.243974,460.43312199999997,13124.85815,4083.680496,3562.093315,20770.63196,17627.98039,3184.943319,2307.3256969999998,23120.24941,2090.273892,,3163.1562289999997,1578.3676710000002,1238.089224,814.8545882999999,3631.311483,66934.43144
2016,H.1: Expenditure by year,6640.145827,7702.514567,611.7002554,14299.83804,4237.335224,3794.7679329999996,22331.9412,17930.29179,3284.602318,2382.564919,23597.45902,1888.9912129999998,,3858.042905,1646.639234,2063.2032600000002,965.9169887,4675.759483,71306.55447999999
1988,H.2: Expenditure by year,517.9727963,1270.36875,79.40649153,1591.579148,876.13371,278.64894080000005,2746.361799,904.5604913999999,950.5930668,834.3403332,2689.493891,0.0,,0.0,0.0,82.16668672,53.21273997,135.3794267,7438.983155
1989,H.2: Expenditure by year,501.61357019999997,1312.75375,83.73861301,1687.7267579999998,951.6544308,334.232036,2973.613225,1032.6535820000001,1052.090193,923.5397067,3008.283482,0.0,,0.0,0.0,91.08968011,75.41004664,166.49972680000002,8046.502367
1990,H.2: Expenditure by year,516.4602841,1581.38755,87.60272407,1756.0085780000002,1005.0593289999999,377.92546200000004,3138.9933690000003,1128.070391,1096.1129779999999,962.5747218,3186.758091,0.0,,0.0,0.0,98.14687924,96.92388074,195.07076,8706.272778
1991,H.2: Expenditure by year,585.8048723999999,1768.3013,90.55688256,1798.159151,1039.429958,408.0549499,3245.644059,1191.36764,1191.172641,1045.452759,3427.99304,0.0,,0.0,0.0,103.1035016,114.5768913,217.6803929,9335.980545999999
1992,H.2: Expenditure by year,593.9830013,1889.87795,93.28031568,1832.930052,1067.838336,434.2184891,3334.986878,1244.903185,1290.032339,1128.075351,3663.010875,0.0,,0.0,0.0,107.59253909999998,130.4496537,238.04219280000004,9813.181212000001
1993,H.2: Expenditure by year,551.9691403,2012.879872,96.67608978,1957.666666,1129.62253,461.6845555,3548.9737520000003,1469.420706,1372.955266,1203.068699,4045.4446700000003,0.0,,0.0,0.0,123.70929479999998,159.47366350000001,283.1829583,10539.126479999999
1994,H.2: Expenditure by year,510.72594879999997,2092.005442,101.4354123,2142.5533010000004,1218.048092,496.0182342,3856.6196270000005,1568.175105,1475.144172,1288.8801210000001,4332.199399,0.0,,0.0,0.0,138.36153230000002,180.260354,318.62188619999995,11211.60771
1995,H.2: Expenditure by year,567.5723958,2112.550341,108.3008291,2282.958104,1281.852034,519.3486365,4084.158775,1683.627823,1474.2129400000001,1314.17004,4472.010804,0.0,,0.0,0.0,155.60996200000002,205.7523371,361.36229910000003,11705.95544
1996,H.2: Expenditure by year,558.174937,2105.354859,118.17913999999999,2383.29132,1318.5365800000002,544.33252,4246.16042,1796.6733,1507.958729,1338.772482,4643.404511,0.0,,0.0,0.0,168.06343999999999,165.1797783,333.2432183,12004.517090000001
1997,H.2: Expenditure by year,576.0462974,2132.127149,121.04151999999999,2450.43573,1621.23622,685.35596,4757.02791,2147.95001,1569.180711,1407.594948,5124.7256689999995,0.0,,0.0,0.0,175.6631403,216.91406,392.5772003,13103.54575
