Year,Category,Hospitals ,Other institutions ,Physicians ,Other professionals: Dental services ,Other professionals: Vision care services ,Other professionals: Other services,Total other professionals,Prescribed drugs ,Non-prescribed drugs ,Total drugs,Capital ,Public health ,Administration ,Other health spending: Health research ,Other health spending: Other ,Total other health spending,Grand total 
1985,A.3.1.1: Expenditures by year,16260.30681,4105.881752,6045.6699,2711.3276379999998,925.8702352,496.3677482,4133.565622,2566.45426,1235.85251,3802.306769,1651.2438960000002,1515.720037,966.0576923,381.7966942,979.8200488,1361.616743,39842.36922
1986,A.3.1.1: Expenditures by year,17637.16795,4087.349631,6674.806515,2959.628265,1002.2169050000001,561.9619947000001,4523.807164,3018.0464699999998,1399.026446,4417.072915,1801.4450989999998,1570.158811,1030.562914,453.6604748,1142.116007,1595.776482,43338.14748
1987,A.3.1.1: Expenditures by year,18951.08974,4329.15427,7342.848003,3203.601041,1075.5652289999998,634.3428179,4913.509086999999,3293.141551,1621.711932,4914.853483,1871.7987829999997,1660.980822,1060.070764,452.97723229999997,1291.925401,1744.902633,46789.20759
1988,A.3.1.1: Expenditures by year,20400.3035,4738.659872,7942.099419,3493.9994829999996,1184.176841,715.6089262999999,5393.785251,3736.788735,1784.9334,5521.722135,1901.718276,1786.571491,1225.51923,507.9708862,1541.720144,2049.69103,50960.070210000005
1989,A.3.1.1: Expenditures by year,22270.12236,5141.259403,8506.672707,3820.652354,1302.332078,833.7519125,5956.736345,4262.897729,1975.6299,6238.527629,2092.809957,1953.591609,1524.9716460000002,589.138417,1822.392223,2411.53064,56096.2223
1990,A.3.1.1: Expenditures by year,22768.4592,6681.836234,9178.784495,4128.485424,1413.217349,941.8776736,6483.580447,4871.616644,2058.6877,6930.304344,2123.668463,2231.401145,1689.26986,681.7416412,2323.8335460000003,3005.575187,61092.87937
1991,A.3.1.1: Expenditures by year,24204.62121,7636.604146,10105.36066,4449.741857999999,1502.560498,1062.5819609999999,7014.884318,5466.440787,2236.6254,7703.066187,2027.499616,2415.806442,1789.9715609999998,716.6037381,2823.012082,3539.6158200000004,66437.42996000001
1992,A.3.1.1: Expenditures by year,25190.162330000003,8143.69875,10343.4328,4667.619683,1557.627818,1149.498451,7374.745951999999,6097.136634,2418.10769,8515.244324,2057.9778100000003,2578.788849,1863.364184,822.555871,2963.664879,3786.22075,69853.63575
1993,A.3.1.1: Expenditures by year,25289.04025,8203.25897,10403.54399,4908.165886,1605.693554,1193.2844710000002,7707.1439120000005,6600.281803,2576.023964,9176.305767,2016.9456920000002,2691.543307,2132.349964,805.9346883999999,3093.018475,3898.953163,71519.08501
1994,A.3.1.1: Expenditures by year,24757.395780000003,8358.370262999999,10635.46517,5199.874993,1700.162896,1226.6488669999999,8126.686756,6759.966512000001,2764.024294,9523.990805,2272.8134010000003,2970.962233,2389.827011,811.5194153,3312.596533,4124.115948,73159.62737
