,Year,Province Code,GDP ($mm),Pop (k),CPI (healthcare),Private health spend/capita ($),Public health spend/capita ($)
389,2012,Alta.  ,312482.0,3880.8,151.6951501,1758.8308949999994,4909.841447999999
390,2013,Alta.  ,342415.0,3998.0,151.14087759999995,1759.328663,4945.967355
391,2014,Alta.  ,376597.0,4108.4,152.85912240000005,1815.5025890000002,4987.855165
392,2015,Alta.  ,331251.0,4177.5,154.93764430000004,1943.653105,5125.599646
393,2016,Alta.  ,314944.0,4236.4,157.3579677,2007.918997,5230.623368
394,2017,Alta.  ,342034.354,4286.1,159.2332564,2061.367801000001,5328.517315
395,2018,Alta.  ,362527.0642,4365.1,161.2659341,2125.2426379999997,5426.824858
396,1975,B.C. ,,2499.6,31.15004257,155.5638341,397.8750937
397,1976,B.C. ,,2533.8,34.52157659,185.9475972,456.69433669999995
398,1977,B.C. ,,2569.7,36.72040313,216.69225950000003,496.16083889999993
399,1978,B.C. ,,2614.0,38.91922966,229.4963087,552.6060081
400,1979,B.C. ,,2663.0,42.97211842,241.58985090000002,617.8099617
401,1980,B.C. ,,2743.2,48.43345789,294.5253714,755.3324117999997
402,1981,B.C. ,45999.0,2823.9,54.23972406,311.2982868,903.4516754000001
403,1982,B.C. ,45934.0,2872.9,60.16096579,328.2799768000001,1018.8681720000001
404,1983,B.C. ,48555.0,2905.5,64.84622018,353.448918,1076.857458
405,1984,B.C. ,50962.0,2945.6,68.12302386,393.5346893,1110.01763
406,1985,B.C. ,54872.0,2974.3,70.14467759,412.58451260000004,1146.7553369999996
407,1986,B.C. ,57943.0,3004.1,73.00948548,438.47718210000005,1220.615168
408,1987,B.C. ,64040.0,3050.2,76.19047619,473.72209910000004,1277.427559
409,1988,B.C. ,70951.0,3115.4,79.62058063,512.6606068,1361.650713
410,1989,B.C. ,77271.0,3197.9,82.25543739,554.4236943,1481.217682
411,1990,B.C. ,81231.0,3290.8,84.84238766,603.4832057,1638.003615
412,1991,B.C. ,83792.0,3373.5,89.3264348,640.1546002,1769.0460870000006
413,1992,B.C. ,89371.0,3468.4,91.99961675,660.5796664,1867.8528199999998
414,1993,B.C. ,96069.0,3567.4,94.83568075,680.3298585,1925.8902079999998
415,1994,B.C. ,102426.0,3675.7,96.94356616,689.1764391,1969.1815989999998
416,1995,B.C. ,107931.0,3777.0,97.73881384,681.5738504,1996.0074920000002
417,1996,B.C. ,111201.0,3874.3,98.75443135,694.1653876,1984.55945
418,1997,B.C. ,117135.0,3948.5,100.0,731.7515041,2011.5342239999998
419,1998,B.C. ,118189.0,3983.1,102.88397049999999,780.7637404,2084.944846
420,1999,B.C. ,123964.0,4011.3,105.16431920000001,825.2249820000003,2236.0198969999997
421,2000,B.C. ,134606.0,4039.2,108.1441027,887.9865957999997,2432.623776000001
422,2001,B.C. ,136852.0,4078.4,111.5742071,946.5174512,2652.907664
423,2002,B.C. ,141943.0,4115.4,114.97556770000001,1024.934674,2782.741677
424,2003,B.C. ,149754.0,4155.4,117.29424159999999,1074.8734789999999,2870.941064
425,2004,B.C. ,162300.0,4203.8,119.26798889999999,1164.116023,2909.652227
426,2005,B.C. ,174866.0,4260.2,122.1232155,1178.796544,3052.058916
427,2006,B.C. ,188236.0,4241.7,125.361694,1381.1231619999999,3193.588327
428,2007,B.C. ,198325.0,4291.0,127.8719939,1369.621567,3347.8932870000012
429,2008,B.C. ,204405.0,4349.4,130.842196,1508.6073609999999,3606.661296
430,2009,B.C. ,196247.0,4410.7,134.0615119,1498.663966,3698.431533
431,2010,B.C. ,205114.0,4465.9,136.1214908,1614.6598,3838.8995409999998
432,2011,B.C. ,216784.0,4499.1,137.5299416,1645.584053,3950.6356619999997
433,2012,B.C. ,221413.0,4546.3,137.45329119999997,1690.299761,4070.458724
434,2013,B.C. ,228973.0,4590.1,135.1058733,1589.282608,4043.980857
435,2014,B.C. ,242044.0,4646.5,134.5597394,1759.9677390000006,4167.343097
436,2015,B.C. ,251744.0,4694.7,135.21126759999999,1775.3873219999994,4257.436452
437,2016,B.C. ,263706.0,4757.7,137.2041774,1841.939348,4395.737013
438,2017,B.C. ,278558.7326,4817.2,140.7396762,1930.1400780000001,4485.108679
439,2018,B.C. ,291220.1626,4880.2,143.16299999999995,2006.1061780000002,4590.481622
440,1975,Y.T.,,21.9,32.15273865,160.45736719999996,566.0261092000002
441,1976,Y.T.,,22.5,36.49335837,192.5853398,611.8541101
442,1977,Y.T.,,22.8,38.98519561,197.1888957,612.9915053999998
443,1978,Y.T.,,23.7,41.15550547,200.4928183,698.5068026
444,1979,Y.T.,,24.0,43.07314551,228.9995832,768.9974990000003
445,1980,Y.T.,,24.3,47.92256215,251.8585526,821.2171053
446,1981,Y.T.,500.0,23.9,52.94714783,257.9801699,919.8113207999999
447,1982,Y.T.,493.0,24.5,59.60357143,276.322027,1241.642828
448,1983,Y.T.,470.0,23.6,65.23214286,282.660061,1328.453167
449,1984,Y.T.,478.0,23.9,68.83035714,287.6923720000001,1297.622533
450,1985,Y.T.,515.0,24.4,70.58928571,278.8933585,1351.178773
451,1986,Y.T.,661.0,24.5,73.95535714,229.5098531,1510.2918769999999
452,1987,Y.T.,919.0,25.7,76.94642857,219.52370040000002,1521.492775
453,1988,Y.T.,1005.0,26.6,79.54464286,196.02642,1524.9255150000001
454,1989,Y.T.,1068.0,27.1,82.91071429,194.61394319999997,1632.099463
455,1990,Y.T.,1107.0,27.8,87.04464286,180.8098101,1747.9507030000002
456,1991,Y.T.,1009.0,28.9,93.11607143,210.0369585,1954.706884
457,1992,Y.T.,1182.0,30.1,98.0,230.02815530000004,2011.9769239999998
458,1993,Y.T.,957.0,30.4,99.14285714,347.9006238,2290.106957
459,1994,Y.T.,992.0,29.7,100.49107140000001,334.47129680000006,2831.13854
460,1995,Y.T.,1132.0,30.4,98.98214286,346.0931145,2799.504526
461,1996,Y.T.,1222.0,31.4,99.82142857,580.9439927,2930.952069
462,1997,Y.T.,1185.0,31.8,100.0,543.3825864,2705.477386
463,1998,Y.T.,1130.0,31.1,100.7321429,524.5648624,2818.35086
464,1999,Y.T.,1144.0,30.8,101.7321429,548.3689159,3000.9955440000012
465,2000,Y.T.,1261.0,30.4,102.9821429,813.5505936000003,3234.922526000001
466,2001,Y.T.,1337.0,30.1,106.49107140000001,911.3307828,3826.0439840000004
467,2002,Y.T.,1317.0,30.1,107.13392859999999,1100.747874,4058.3200859999997
468,2003,Y.T.,1359.0,30.6,109.1428571,1056.958122,4055.7639
469,2004,Y.T.,1463.0,30.9,110.7142857,1151.0615300000004,4274.599209
470,2005,Y.T.,1572.0,31.1,112.4375,1165.200193,4788.880431000001
471,2006,Y.T.,1701.0,32.3,114.7321429,1209.069222,5388.771643
472,2007,Y.T.,1814.0,32.6,117.19642859999999,1574.269149,5388.441963
473,2008,Y.T.,2043.0,33.1,120.2857143,1515.074228,5654.901870000002
474,2009,Y.T.,2136.0,33.7,125.5892857,1662.002338,6506.709968
475,2010,Y.T.,2312.0,34.6,128.3303571,1734.7753899999998,6582.008027000003
476,2011,Y.T.,2494.0,35.4,130.4732143,1857.075894,6953.705448999999
477,2012,Y.T.,2554.0,36.1,132.6607143,2075.2227940000002,7067.447759999999
478,2013,Y.T.,2650.0,36.3,132.2142857,2073.268148,7292.501089
479,2014,Y.T.,2744.0,36.8,132.6607143,2156.721334,7467.91952
480,2015,Y.T.,2673.0,37.3,133.125,2099.051159,7986.626327
481,2016,Y.T.,2800.0,38.1,134.9910714,2263.060268,9777.306679000001
482,2017,Y.T.,2995.880222,38.5,139.4196429,2413.5076489999997,10606.18329
483,2018,Y.T.,3138.260072,38.8,143.5525694,2476.3313,9644.390626
484,1975,N.W.T.,,42.8,28.04909538,202.7025135,615.9653668
485,1976,N.W.T.,,44.3,30.80336562,209.75362119999997,671.19602
486,1977,N.W.T.,,44.7,32.770105,236.0797045,867.8775327
487,1978,N.W.T.,,45.3,35.32548259,258.6738525,989.3592348999999
488,1979,N.W.T.,,45.7,36.67017689,271.21487149999996,1018.113723
489,1980,N.W.T.,,46.3,38.95070573,284.91523589999997,1034.170176
490,1981,N.W.T.,1054.0,47.6,43.27553333,306.4977395,1245.883714
491,1982,N.W.T.,1322.0,49.5,51.12564057,311.0875492,1917.903666
492,1983,N.W.T.,1440.0,51.0,58.22583495,331.4851834,2088.580864
493,1984,N.W.T.,1512.0,52.6,65.39141191,344.9623316,2047.423141
494,1985,N.W.T.,1703.0,54.4,69.49991165,361.047388,2185.684522
495,1986,N.W.T.,1604.0,54.7,72.70719208,396.69260160000016,2655.449518
496,1987,N.W.T.,1791.0,55.0,75.41084997,433.5915131,2859.774169000001
497,1988,N.W.T.,2078.0,55.7,78.3088885,490.08997259999995,3302.397405
498,1989,N.W.T.,2187.0,57.0,81.33062379,514.3272475,3570.1824560000005
499,1990,N.W.T.,2244.0,58.9,84.45838487,481.6440547,3708.3528409999994
500,1991,N.W.T.,2213.0,60.9,88.77010072,529.4418207,4057.164585
501,1992,N.W.T.,2187.0,62.4,91.80067149999999,476.21782310000015,4004.3001520000003
502,1993,N.W.T.,2401.0,63.5,94.53967132,445.88735360000004,4071.5111490000004
503,1994,N.W.T.,2441.0,65.2,96.43046475,410.94757210000006,3983.425476
504,1995,N.W.T.,2444.0,66.6,97.86181304,370.9581687,4060.007444
505,1996,N.W.T.,2557.0,67.6,97.96783884,395.8225585,3713.5890630000004
506,1997,N.W.T.,2797.0,67.7,100.0,389.3591966,3876.748812
507,1998,N.W.T.,2736.0,67.2,101.37833540000001,387.2477613,4224.371247
508,1999,N.W.T.,2433.0,40.7,102.80968370000001,519.5652296,4967.446322
509,2000,N.W.T.,2663.0,40.5,104.0819933,484.8779494,4664.181594
510,2001,N.W.T.,3153.0,40.8,105.7695706,645.2387739,5232.793958
511,2002,N.W.T.,3204.0,41.5,106.0346351,692.1773637,5711.561139
512,2003,N.W.T.,3894.0,42.2,107.11256409999999,708.1253114,5529.056801
513,2004,N.W.T.,4516.0,42.8,109.14472520000001,708.290439,5929.69515
514,2005,N.W.T.,4446.0,42.7,109.86039939999999,1179.431708,6282.534268
515,2006,N.W.T.,4439.0,43.2,113.3680862,1401.237709,6626.317903
516,2007,N.W.T.,4667.0,43.4,114.4901926,1492.7826519999999,7287.0179
517,2008,N.W.T.,5024.0,43.4,118.1745892,1393.3089320000001,7951.530662
518,2009,N.W.T.,4010.0,43.1,122.65417920000002,1561.995198,8685.474645999999
519,2010,N.W.T.,4816.0,43.3,124.5538081,1531.582795,9163.029552
520,2011,N.W.T.,4733.0,43.5,123.54656299999999,1590.615446,10046.38887
521,2012,N.W.T.,4392.0,43.6,124.3240855,1820.1088350000002,10243.541490000001
522,2013,N.W.T.,4482.0,43.8,124.54497260000001,1729.904758,11552.56668
523,2014,N.W.T.,4781.0,43.9,122.4597986,1692.294273,12098.17455
524,2015,N.W.T.,4868.0,44.2,123.71443719999999,1859.2390690000002,12810.851770000001
525,2016,N.W.T.,4739.0,44.6,124.8100371,2063.166117,14129.69648
526,2017,N.W.T.,5070.527276,44.5,128.830182,2200.253195,14401.77231
527,2018,N.W.T.,5311.505172,44.4,131.3237068,2267.967272,14008.22696
528,1975,Nun.,,,,,
529,1976,Nun.,,,,,
530,1977,Nun.,,,,,
531,1978,Nun.,,,,,
532,1979,Nun.,,,,,
533,1980,Nun.,,,,,
534,1981,Nun.,,,,,
535,1982,Nun.,,,,,
536,1983,Nun.,,,,,
537,1984,Nun.,,,,,
538,1985,Nun.,,,,,
539,1986,Nun.,,,,,
540,1987,Nun.,,,,,
541,1988,Nun.,,,,,
542,1989,Nun.,,,,,
543,1990,Nun.,,,,,
544,1991,Nun.,,,,,
545,1992,Nun.,,,,,
546,1993,Nun.,,,,,
547,1994,Nun.,,,,,
548,1995,Nun.,,,,,
549,1996,Nun.,,,,,
550,1997,Nun.,,,,,
551,1998,Nun.,,,,,
552,1999,Nun.,813.0,26.8,102.80968370000001,338.4277674,4979.316031
553,2000,Nun.,892.0,27.5,104.0819933,338.3232638,5787.5752649999995
554,2001,Nun.,933.0,28.1,105.7695706,378.4220455,6175.932002000001
555,2002,Nun.,1019.0,28.7,106.0346351,388.4357471,7091.927452
556,2003,Nun.,1028.0,29.2,107.11256409999999,456.0720727,9579.098173
557,2004,Nun.,1118.0,29.6,109.14472520000001,469.23381550000005,9926.967161
558,2005,Nun.,1162.0,30.0,109.86039939999999,556.1241253,9594.328948
559,2006,Nun.,1241.0,30.8,113.3680862,585.2635812999998,10312.79876
560,2007,Nun.,1319.0,31.4,114.4901926,645.4126593,10623.5239
561,2008,Nun.,1566.0,31.9,118.1745892,651.8466501,10881.87392
562,2009,Nun.,1537.0,32.6,122.65417920000002,766.5178084,11276.27658
563,2010,Nun.,1915.0,33.4,124.5538081,782.9150381000003,11302.106259999999
564,2011,Nun.,2035.0,34.2,123.54656299999999,876.1764827,11873.85748
565,2012,Nun.,2198.0,34.7,124.3240855,970.3848542999999,12401.18501
566,2013,Nun.,2294.0,35.4,124.54497260000001,846.1498037,12984.76189
567,2014,Nun.,2383.0,36.1,122.4597986,894.9260382000001,13691.76766
568,2015,Nun.,2397.0,36.6,123.71443719999999,941.0844541000001,14121.20065
569,2016,Nun.,2443.0,37.2,124.8100371,1032.632052,14386.105309999999
570,2017,Nun.,2613.905494,38.0,128.830182,1068.81621,15195.31075
571,2018,Nun.,2738.1319129999997,38.8,131.3237068,1079.249977,14753.17146
